dialog_id,participant_index,is_bot
0012a424-ae56-414b-a982-04cf24c35229,0,1
0012a424-ae56-414b-a982-04cf24c35229,1,0
009a6b25-0289-4845-a392-4025fde96371,0,1
009a6b25-0289-4845-a392-4025fde96371,1,0
00ade168-91d4-4605-b99b-da1ecbbb51fd,0,0
00ade168-91d4-4605-b99b-da1ecbbb51fd,1,0
00f09d37-fc02-4865-8bb4-1c6eb2edd10d,0,0
00f09d37-fc02-4865-8bb4-1c6eb2edd10d,1,1
010304d9-1aed-4e39-b3bd-392b71746fdd,0,0
010304d9-1aed-4e39-b3bd-392b71746fdd,1,0
012c972a-321d-4e43-86d0-a7db27723a60,0,1
012c972a-321d-4e43-86d0-a7db27723a60,1,0
0132f411-3410-42c8-bb6f-7beb48c245f3,0,1
0132f411-3410-42c8-bb6f-7beb48c245f3,1,0
0134e400-929c-4582-b509-6f6f4a94dec8,0,1
0134e400-929c-4582-b509-6f6f4a94dec8,1,0
01694923-3f09-46f9-8502-f79d9854644a,0,0
01694923-3f09-46f9-8502-f79d9854644a,1,0
01dbf316-006c-40b8-9ea8-79ef64665254,0,0
01dbf316-006c-40b8-9ea8-79ef64665254,1,1
01ea786f-02ca-4b12-8bdd-4c20ca005f7e,0,0
01ea786f-02ca-4b12-8bdd-4c20ca005f7e,1,0
01edf5c3-a573-4b13-8511-52a020832cb9,0,0
01edf5c3-a573-4b13-8511-52a020832cb9,1,0
02230376-02c8-42ff-a528-b24ed9c09b93,0,1
02230376-02c8-42ff-a528-b24ed9c09b93,1,0
023b4682-6d16-43a7-8335-32772a9ca348,0,0
023b4682-6d16-43a7-8335-32772a9ca348,1,1
02461631-dc3f-4908-9c67-39f309f4019b,0,1
02461631-dc3f-4908-9c67-39f309f4019b,1,0
0249c98e-0437-4930-90a7-1d659f7f9065,0,0
0249c98e-0437-4930-90a7-1d659f7f9065,1,0
0257be4c-e1fc-43a9-9f4b-10412fd57844,0,0
0257be4c-e1fc-43a9-9f4b-10412fd57844,1,0
02756c00-1fbd-45eb-bd2e-2a4bd2aaa779,0,1
02756c00-1fbd-45eb-bd2e-2a4bd2aaa779,1,0
02762d02-6c98-43d2-a7ce-8e8615333e65,0,1
02762d02-6c98-43d2-a7ce-8e8615333e65,1,0
027ca831-acbe-4f66-b9ad-8a55f7340681,0,0
027ca831-acbe-4f66-b9ad-8a55f7340681,1,1
02880438-b78a-4e5b-8c4b-44884a12c09a,0,0
02880438-b78a-4e5b-8c4b-44884a12c09a,1,1
028ef11d-6d37-4fb1-b5f6-9a487d3704c8,0,1
028ef11d-6d37-4fb1-b5f6-9a487d3704c8,1,0
02982002-2a82-4d1e-9349-7a1f251b3199,0,0
02982002-2a82-4d1e-9349-7a1f251b3199,1,1
02bde0d7-1087-44b7-9662-1a0f3157e84a,0,0
02bde0d7-1087-44b7-9662-1a0f3157e84a,1,1
02d76fbe-a239-4983-a113-91fb87846ee1,0,1
02d76fbe-a239-4983-a113-91fb87846ee1,1,0
02de1500-4ff7-411d-ac2e-45646f51d15e,0,1
02de1500-4ff7-411d-ac2e-45646f51d15e,1,0
033542cb-ce4e-4975-9cd3-50084f967e6e,0,0
033542cb-ce4e-4975-9cd3-50084f967e6e,1,1
03384b98-6db1-4bb0-9574-6de5773b9ac2,0,1
03384b98-6db1-4bb0-9574-6de5773b9ac2,1,0
0355c5a6-c169-4362-a55e-0871c6d96f15,0,0
0355c5a6-c169-4362-a55e-0871c6d96f15,1,0
03790dda-4b39-480b-a195-ebe443872bda,0,1
03790dda-4b39-480b-a195-ebe443872bda,1,0
0495749d-da34-4bff-a328-fc725376f5ef,0,1
0495749d-da34-4bff-a328-fc725376f5ef,1,0
04e1d49f-bb72-4380-b347-d37f4e84a49f,0,1
04e1d49f-bb72-4380-b347-d37f4e84a49f,1,0
0500ef08-d55c-46a7-8172-cd1dfce6cfbc,0,0
0500ef08-d55c-46a7-8172-cd1dfce6cfbc,1,1
05398758-cf1b-4fed-a7ed-56ee720e0802,0,1
05398758-cf1b-4fed-a7ed-56ee720e0802,1,0
06dd2deb-547e-4e2b-9cd7-db8aff82bce1,0,1
06dd2deb-547e-4e2b-9cd7-db8aff82bce1,1,0
06e45cc5-3ade-4889-909c-4170a5b0c622,0,0
06e45cc5-3ade-4889-909c-4170a5b0c622,1,0
070b0559-6df1-41a2-809a-2546864cff5d,0,0
070b0559-6df1-41a2-809a-2546864cff5d,1,1
